Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean, arithmetic mean, minimum selection probability
10-instance-1, 10, 0, 0.001,0.004,0,11,0,1,-nan(ind),1,
10-instance-2, 10, 2, 0.001,0.004,0.038,10,2,0.25,0.5,0.5,
10-instance-3, 10, 0, 0.001,0.006,0,11,0,1,-nan(ind),1,
10-instance-4, 10, 0, 0.001,0.003,0,11,0,1,-nan(ind),1,
10-instance-5, 10, 0, 0.001,0.012,0,11,0,1,-nan(ind),1,
10-instance-6, 10, 4, 0.001,0.008,0.054,10,4,0.00390625,0.25,0.25,
10-instance-7, 10, 0, 0.001,0.004,0,11,0,1,-nan(ind),1,
10-instance-8, 10, 0, 0.001,0.005,0,11,0,1,-nan(ind),1,
10-instance-9, 10, 4, 0.02,0.045,0.082,8,2,0.0625,0.5,0.5,
10-instance-10, 10, 0, 0.002,0.003,0,11,0,1,-nan(ind),1,
10-instance-11, 10, 3, 0.001,0.011,0.045,10,3,0.037037,0.333333,0.333333,
10-instance-12, 10, 0, 0,0.005,0,11,0,1,-nan(ind),1,
10-instance-13, 10, 3, 0.002,0.004,0.044,10,3,0.037037,0.333333,0.333333,
10-instance-14, 10, 0, 0.001,0.003,0,11,0,1,-nan(ind),1,
10-instance-15, 10, 0, 0.001,0.002,0,11,0,1,-nan(ind),1,
10-instance-16, 10, 0, 0.001,0.009,0,11,0,1,-nan(ind),1,
10-instance-17, 10, 0, 0.001,0.002,0,11,0,1,-nan(ind),1,
10-instance-18, 10, 5, 0.001,0.005,0.067,10,5,0.00032,0.2,0.2,
